% parallel ∥
wdieresis ẅ
wdotaccent ẇ
wdotbelow ẉ
wedgedot ⟑
wehiragana ゑ
weierstrass ℘
weierstrassf ℘
wekatakana ヱ
wekorean ㅞ
weokorean ㅝ
wgrave ẁ
whitebullet ◦
whitecircle ○
whitecircleinverse ◙
whitecornerbracketleft 『
whitecornerbracketleftvertical ﹃
whitecornerbracketright 』
whitecornerbracketrightvertical ﹄
whitediamond ◇
whitediamondcontainingblacksmalldiamond ◈
whitedownpointingsmalltriangle ▿
whitedownpointingtriangle ▽
whiteleftpointingsmalltriangle ◃
whiteleftpointingtriangle ◁
whitelenticularbracketleft 〖
whitelenticularbracketright 〗
whiterightpointingsmalltriangle ▹
whiterightpointingtriangle ▷
whitesmallsquare ▫
whitesmilingface ☺
whitesquare □
whitestar ☆
whitetelephone ☏
whitetortoiseshellbracketleft 〘
whitetortoiseshellbracketright 〙
whiteuppointingsmalltriangle ▵
whiteuppointingtriangle △
widearc1 ⌒
widearc2 ⌒
widearc3 ⌒
widearc4 ⌒
widearc5 ⌒
widearc6 ⌒
wihiragana ゐ
wikatakana ヰ
wikorean ㅟ
wmonospace ｗ
wohiragana を
wokatakana ヲ
wokatakanahalfwidth ｦ
won ₩
wonmonospace ￦
wowaenthai ว
wparen ⒲
wreathproduct ≀
wring ẘ
wsuperior ʷ
wturned ʍ
wynn ƿ
x x
xabovecmb ̽
xbbb 𝕩
xbopomofo ㄒ
xcircle ⓧ
xdieresis ẍ
xdotaccent ẋ
xeharmenian խ
xgreaterequal ⩾
xi ξ
xlessequal ⩽
xmonospace ｘ
xparen ⒳
xsuperior ˣ
xswordsup ⚔
y y
yaadosquare ㍎
yabengali য
yacute ý
yadeva य
yaekorean ㅒ
yagujarati ય
yagurmukhi ਯ
yahiragana や
yakatakana ヤ
yakatakanahalfwidth ﾔ
yakorean ㅑ
yamakkanthai ๎
yasmallhiragana ゃ
yasmallkatakana ャ
yasmallkatakanahalfwidth ｬ
yatcyrillic ѣ
ybbb 𝕪
ycircle ⓨ
ycircumflex ŷ
ydieresis ÿ
ydotaccent ẏ
ydotbelow ỵ
yeharabic ي
yehbarreearabic ے
yehbarreefinalarabic ﮯ
yehfinalarabic ﻲ
yehhamzaabovearabic ئ
yehhamzaabovefinalarabic ﺊ
yehhamzaaboveinitialarabic ﺋ
yehhamzaabovemedialarabic ﺌ
yehinitialarabic ﻳ
yehmedialarabic ﻴ
yehmeeminitialarabic ﳝ
yehmeemisolatedarabic ﱘ
yehnoonfinalarabic ﲔ
yehthreedotsbelowarabic ۑ
yekorean ㅖ
yen ¥
yenmonospace ￥
yeokorean ㅕ
yeorinhieuhkorean ㆆ
yerahbenyomohebrew ֪
yerahbenyomolefthebrew ֪
yericyrillic ы
yerudieresiscyrillic ӹ
yesieungkorean ㆁ
yesieungpansioskorean ㆃ
yesieungsioskorean ㆂ
yetivhebrew ֚
ygrave ỳ
yhook ƴ
yhookabove ỷ
yiarmenian յ
yicyrillic ї
yikorean ㅢ
yinyang ☯
yiwnarmenian ւ
ymonospace ｙ
yod י
yoddagesh יּ
yoddageshhebrew יּ
yodhebrew י
yodyodhebrew ײ
yodyodpatahhebrew ײַ
yogh ȝ
yohiragana よ
yoikorean ㆉ
yokatakana ヨ
yokatakanahalfwidth ﾖ
yokorean ㅛ
yosmallhiragana ょ
yosmallkatakana ョ
yosmallkatakanahalfwidth ｮ
yotgreek ϳ
yoyaekorean ㆈ
yoyakorean ㆇ
yoyakthai ย
yoyingthai ญ
yparen ⒴
ypogegrammeni ͺ
ypogegrammenigreekcmb ͅ
yr Ʀ
yring ẙ
ysuperior ʸ
ytilde ỹ
yturned ʎ
yuhiragana ゆ
yuikorean ㆌ
yukatakana ユ
yukatakanahalfwidth ﾕ
yukorean ㅠ
yusbigcyrillic ѫ
yusbigiotifiedcyrillic ѭ
yuslittlecyrillic ѧ
yuslittleiotifiedcyrillic ѩ
yusmallhiragana ゅ
yusmallkatakana ュ
yusmallkatakanahalfwidth ｭ
yuyekorean ㆋ
yuyeokorean ㆊ
yyabengali য়
yyadeva य़
z z
zaarmenian զ
zacute ź
zadeva ज़
zagurmukhi ਜ਼
zaharabic ظ
zahfinalarabic ﻆ
zahinitialarabic ﻇ
zahiragana ざ
zahmedialarabic ﻈ
zainarabic ز
zainfinalarabic ﺰ
zakatakana ザ
zaqefgadolhebrew ֕
zaqefqatanhebrew ֔
zarqahebrew ֘
zayin ז
zayindagesh זּ
zayindageshhebrew זּ
zayinhebrew ז
zbar ƶ
zbbb 𝕫
zbopomofo ㄗ
zcaron ž
zcircle ⓩ
zcircumflex ẑ
zcurl ʑ
zdot ż
zdotaccent ż
zdotbelow ẓ
zecyrillic з
zedescendercyrillic ҙ
zedieresiscyrillic ӟ
zehiragana ぜ
zekatakana ゼ
zero 0
zeroarabic ٠
zerobengali ০
zerodeva ०
zerogujarati ૦
zerogurmukhi ੦
zerohackarabic ٠
zeroinferior ₀
zeromonospace ０
zerooldstyle 
zeropersian ۰
zerosuperior ⁰
zerothai ๐
zerowidthjoiner ﻿
zerowidthnonjoiner ‌
zerowidthspace ​
zeta ζ
zhbopomofo ㄓ
zhearmenian ժ
zhebrevecyrillic ӂ
zhecyrillic ж
zhedescendercyrillic җ
zhedieresiscyrillic ӝ
zihiragana じ
zikatakana ジ
zinorhebrew ֮
zlinebelow ẕ
zmonospace ｚ
zohiragana ぞ
zokatakana ゾ
zparen ⒵
zretroflexhook ʐ
zstroke ƶ
zuhiragana ず
zukatakana ズ
missingglyph ❓❓❓
anglebar.left ⟬
anglebar.right ⟭
